KR7016580003,20120113,A016580,6230,6210,6370,6170,3,0,0,93121,41634,258772420,6230,6200,5100,6670,32360,8043,,,121,120,6990,5630,20120111,20120105,0,6230,0,0,6300,6050,0,0,0,0,0,0,0,154,959420,1,,18600070,6230,500,6215.35679845709,100,18600070,16045672,0,2554398,13.73327,13.73327,0,0,0,0,0,0,3440,00,1,1,0.88,0.9284474,,,,,,,,7160,5300,00,41480,257813000,00,00,0,6230,6210,6370,6170,6230,41634,258772420,1,00,
KR7016590002,20120113,A016590,15700,15800,15800,15350,5,-100,-0.63,12940,3129,48295300,15650,15550,2190,5530,2570,559,,,37,28,16500,15250,20120106,20120112,0,15700,0,0,16450,0,0,0,0,0,0,0,0,9,141300,1,,3590868,15800,5000,15433.9743589744,100,3590868,3589218,0,1650,0.04594989,0.04594989,0,0,0,0,0,0,-20,00,1,1,0.33,0.1420676,,,,,,,,18150,13450,00,3120,48154000,00,00,0,15700,15800,15800,15350,15700,3129,48295300,1,00,
KR7016600009,20120113,A016600,481,495,495,475,3,0,0,34770,62562,29867571,481,479,7794,25790,40690,21866,,,33,59,495,460,20120113,20120106,0,481,0,0,0,471,0,0,0,0,0,0,0,0,0,4,,79833370,481,500,477.407547712669,100,79833370,78160016,0,1673354,2.096058,2.096058,0,0,0,0,0,0,0,00,1,1,0,0.3585846,,,,,,,,553,409,00,62562,29867571,00,00,0,481,495,495,475,481,62562,29867571,1,00,
KR7016610008,20120113,A016610,4430,4445,4510,4390,5,-20,-0.45,210620,157620,700646135,4430,4425,6930,11930,95980,47550,,,235,230,4510,4040,20120113,20120109,173000,4435,5,2,4440,4435,341,1502835,4340,4435,4340,9,40050,500,2215000,1,,42446389,4450,5000,4445.20806945408,100,42446389,41340485,0,1105904,2.605414,2.605414,0,0,0,0,0,0,7770,00,1,1,0.5,1.448886,,,,,,,,5110,3785,00,156770,696888250,00,00,-26231,4430,4445,4510,4390,4430,157620,700646135,1,00,
KR7011500006,20120113,A011500,3490,3465,3520,3450,5,-20,-0.57,16541,24540,85175950,3490,3455,5330,9210,15190,8820,,,24,28,3595,3430,20120111,20120106,0,3490,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,15637042,3510,500,3470.90260798696,100,15637042,14747015,0,890027,5.691786,5.691786,0,0,0,0,0,0,130,00,1,1,1.24,0.3778867,,,,,,,,4035,2985,00,24540,85175950,00,00,0,3490,3465,3520,3450,3490,24540,85175950,1,00,
KR7001780006,20120113,A001780,2925,2910,2975,2910,2,5,0.17,722285,451097,1326040025,2930,2925,42570,47670,284912,139450,,,326,323,3180,2780,20120106,20120106,180000,2890,-35,5,2895,2890,6704,19432000,2925,2930,2890,0,0,7323,21419775,1,,55722246,2920,500,2939.83029650227,100,55722246,55068378,0,653868,1.173442,1.173442,0,0,0,0,0,0,43880,00,1,1,3.31,-0.2844766,,,,,,,,3355,2485,00,437070,1285188250,00,00,0,2925,2910,2975,2910,2925,451097,1326040025,1,00,
KR7001790005,20120113,A001790,22250,22100,22350,21900,2,150,0.68,5252,7681,170212250,22250,22000,2010,1650,5570,1921,,,168,51,22350,21000,20120113,20120111,0,22250,0,0,22250,21900,0,0,0,0,0,0,0,1,22250,1,,7508720,22100,2500,22160.15625,100,7508720,7146529,0,362191,4.823605,4.823605,0,0,0,0,20,445000,-70,00,1,0.8501683,0.42,-0.02081936,,,,,,,,25400,18800,00,7680,170190000,00,00,1470,22250,22100,22350,21900,22250,7681,170212250,1,00,
KR7001791003,20120113,A001795,8360,8360,8360,8360,5,-30,-0.36,110,850,7106000,8360,8190,1320,1520,0,850,,,0,2,9040,8110,20120109,20120111,0,8360,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,540230,8390,2500,8360,100,540230,540230,0,0,0,0,0,0,0,0,0,0,0,00,1,0.8349515,0,-0.03503051,,,,,,,,9640,7140,00,850,7106000,00,00,0,8360,8360,8360,8360,8360,850,7106000,1,00,
KR7001793009,20120113,A001799,15300,15050,15300,15050,5,-300,-1.92,0,280,4219500,15350,15150,210,660,240,40,,,4,3,16400,15050,20120110,20120113,0,15300,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,108046,15600,2500,15069.6428571429,100,108046,108046,0,0,0,0,0,0,0,0,0,0,0,00,1,0.8348624,0,1.463929,,,,,,,,17900,13300,00,280,4219500,00,00,0,15300,15050,15300,15050,15300,280,4219500,1,00,
KR7001800002,20120113,A001800,642000,635000,643000,633000,2,2000,0.31,15608,17410,11087314000,642000,641000,2077,2240,9371,6539,,,1287,1179,675000,631000,20120105,20120109,180000,642000,0,3,643000,640000,14,8952000,639000,642000,639000,0,0,5,3210000,1,,5964865,640000,5000,636834.472852629,100,5964865,3501430,0,2463435,41.29909,41.29909,0,0,0,0,1431,911190000,-1833,00,1,1,0.04,0.9019077,,,,,,,,736000,544000,00,17391,11075152000,00,00,1136,642000,635000,643000,633000,642000,17410,11087314000,1,00,
